,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
0,Jorginho,77544,293,https://s.glbimg.com/es/sde/f/2020/09/11/fa4f0fa959553267d0d1f02920de2e33_FORMATO.png,9,3.86,Jorge de Moura Xavier,0.0,4,9.05,37,"{'DS': 15, 'FC': 8, 'FD': 1, 'FF': 5, 'FS': 13, 'G': 2, 'PI': 39}",jorginho,6,0.0
1,Santos,69012,293,https://s.glbimg.com/es/sde/f/2019/03/30/e7ce05ddde9ec166606e95d579a152ba_FORMATO.png,30,2.34,Aderbar Melo dos Santos Neto,1.8,1,6.3,37,"{'DD': 20, 'DP': 3, 'DS': 1, 'FC': 1, 'FS': 2, 'GS': 29, 'PI': 247, 'SG': 10}",santos,7,0.68
2,Gilvan,82773,373,https://s.glbimg.com/es/sde/f/2020/02/27/73ad0548535f59edf7dd6d9d1224dc21_FORMATO.png,20,1.86,Gilvan Souza Correa,1.8,3,4.89,37,"{'CA': 6, 'DS': 21, 'FC': 25, 'FD': 1, 'FF': 4, 'FS': 11, 'G': 1, 'PI': 22, 'SG': 5}",gilvan,7,0.27
3,Gilberto,61188,265,https://s.glbimg.com/es/sde/f/2020/07/23/cfa56df3c36a70e02c751261d2b54d77_FORMATO.png,26,4.0,Gilberto Oliveira Souza J£nior,3.0,5,8.85,37,"{'A': 2, 'CA': 6, 'DS': 16, 'FC': 31, 'FD': 25, 'FF': 24, 'FS': 41, 'FT': 1, 'G': 6, 'I': 6, 'PI': 80, 'PP': 1}",gilberto,7,-1.78
4,Lucas Fonseca,80189,265,https://s.glbimg.com/es/sde/f/2020/07/23/c62b021ccea14898e0104605a648a450_FORMATO.png,13,2.1,Lucas Fonseca da Silva,6.5,3,5.07,37,"{'CA': 1, 'DS': 13, 'FC': 8, 'FD': 1, 'FF': 1, 'FS': 8, 'I': 1, 'PI': 53, 'SG': 4}",lucas-fonseca,7,0.82
5,F†bio Santos,38229,264,https://s.glbimg.com/es/sde/f/2020/10/20/af3767d7c68c5209a846f6612fe76c29_FORMATO.png,17,4.79,F†bio Santos Romeu,7.1,2,7.61,37,"{'CA': 2, 'DS': 32, 'FC': 15, 'FF': 2, 'FS': 14, 'FT': 1, 'G': 2, 'PI': 118, 'SG': 9}",fabio-santos,7,1.16
6,Edu,105842,293,https://s.glbimg.com/es/sde/f/2020/07/11/12e46f03fd938b8ea89ef01adafadbd4_FORMATO.png,0,0.0,Lucas Eduardo Ribeiro de Souza,0.0,3,2.0,37,{},edu,6,0.0
7,Diego Tardelli,38231,282,https://s.glbimg.com/es/sde/f/2020/08/31/7d9e7b5ca3e1599aa23e8f098978a809_FORMATO.png,2,0.6,Diego Tardelli Martins,0.0,5,7.16,37,"{'DS': 1, 'FC': 1, 'FF': 1, 'FS': 1, 'PI': 6}",diego-tardelli,6,0.0
8,LÇo Cittadini,70986,293,https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png,28,3.71,Leonardo Cittadini,2.9,4,12.18,37,"{'CA': 6, 'DS': 65, 'FC': 52, 'FD': 12, 'FF': 20, 'FS': 46, 'FT': 1, 'G': 4, 'I': 3, 'PI': 100}",leo-cittadini,7,0.33
9,Maur°cio Kozlinski,72595,373,https://s.glbimg.com/es/sde/f/2020/02/27/c1afaadaf0bd3588434aa47a13df9b8a_FORMATO.png,2,-5.05,Maur°cio Kozlinski,-2.3,1,1.39,37,"{'GS': 4, 'PI': 21}",mauricio-kozlinski,6,-0.17
10,Rodriguinho,61033,265,https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png,20,4.5,Rodrigo Eduardo Costa Marinho,21.2,4,16.24,37,"{'A': 1, 'CA': 2, 'DS': 14, 'FC': 18, 'FD': 11, 'FF': 12, 'FS': 36, 'FT': 1, 'G': 7, 'I': 3, 'PI': 105, 'PP': 1}",rodriguinho,7,3.42
11,Vagner Mancini,39850,264,https://s.glbimg.com/es/sde/f/2020/10/17/872eda934e6fd1fe19b16842c52b0fb9_FORMATO.png,29,3.74,Vagner Carmo Mancini,3.93,6,7.9,37,{},vagner-mancini,7,0.28
12,Kaio Jorge,103445,277,https://s.glbimg.com/es/sde/f/2020/03/09/2863be83eb651b5fcae91f0fa484d0b1_FORMATO.png,28,1.9,Kaio Jorge Pinto Ramos,0.0,5,4.16,37,"{'A': 1, 'CA': 5, 'DS': 17, 'FC': 39, 'FD': 2, 'FF': 16, 'FS': 36, 'FT': 1, 'G': 4, 'I': 2, 'PI': 66}",kaio-jorge,5,0.0
13,Pedro,94583,262,https://s.glbimg.com/es/sde/f/2020/07/21/be530b20dd27bd402abc125ba7691a18_FORMATO.png,30,3.74,Pedro Guilherme Abreu dos Santos,-1.3,5,5.52,37,"{'A': 2, 'CA': 2, 'DS': 9, 'FC': 29, 'FD': 20, 'FF': 15, 'FS': 23, 'G': 10, 'I': 6, 'PI': 51, 'PP': 2}",pedro,6,-0.58
14,Gabriel Batista,98333,262,https://s.glbimg.com/es/sde/f/2020/07/21/a0fe36e0e71a7d48c344eb5e7668b6f7_FORMATO.png,3,-0.9,Gabriel Batista de Souza,0.0,1,1.56,37,"{'DD': 2, 'FS': 1, 'GS': 5, 'PI': 12}",gabriel-batista,6,0.0
15,Willian ArÑo,78478,262,https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png,30,1.42,Willian Souza ArÑo da Silva,0.0,4,7.88,37,"{'CA': 4, 'DS': 55, 'FC': 38, 'FD': 2, 'FF': 11, 'FS': 14, 'G': 1, 'PI': 115}",willian-arao,6,0.0
16,Tiago Volpi,72018,276,https://s.glbimg.com/es/sde/f/2019/04/01/2738a4ae33bd55ff85ec0117ecf79063_FORMATO.png,31,2.87,Tiago Luis Volpi,8.1,1,13.07,37,"{'A': 1, 'CA': 1, 'DD': 32, 'DP': 3, 'DS': 1, 'FS': 8, 'GS': 38, 'PI': 218, 'SG': 6}",tiago-volpi,7,1.17
17,Renyer,107954,277,https://s.glbimg.com/es/sde/f/2020/07/16/a63e9e4595449a48f9b4160c4eec1045_FORMATO.png,0,0.0,Renyer Luan de Oliveira Damasceno,0.0,5,3.0,37,{},renyer,6,0.0
18,Arboleda,91573,276,https://s.glbimg.com/es/sde/f/2019/04/01/8b22d106ccba1278e3e4a6b89e76eab0_FORMATO.png,16,2.55,Robert Abel Arboleda Escobar,4.2,3,8.78,37,"{'CA': 3, 'DS': 20, 'FC': 18, 'FD': 6, 'FF': 6, 'FS': 13, 'G': 1, 'PI': 55, 'SG': 3}",arboleda,7,0.7
